,Threshold,MSE,PSNR,Compression Ratio
0,5,21719.096397399902,4.7623860798914315,3.271240079241475
1,10,23699.049209594727,4.383494381198084,3.4684271711273746
2,15,24317.042430877686,4.271696082794545,3.5782107106595524
3,20,24520.65578842163,4.235482799528415,3.612650668721449
4,25,24597.13279724121,4.221958750209845,3.622794853220187
