,Threshold,MSE,PSNR,Compression Ratio
0,5,10130.818996429443,8.074358048213085,2.016252800884005
1,10,11057.624881744385,7.694185079973098,2.0205787583533916
2,15,11628.604202270508,7.47552771989081,2.023270498367523
3,20,11947.026763916016,7.358205242605887,2.0239562471113848
4,25,12114.965717315674,7.29758171350365,2.023208180614162
