,Window Size,MSE,PSNR,Compression Ratio
0,2,1332.289114634196,2.1656031360494206,1.5294506537244013
1,4,1665.3885803222656,2.0686860332405725,1.7766925598068293
2,8,2399.7013982137046,1.910044411032649,2.1392317964366625
3,16,2594.0761807759604,1.8762188896356502,2.7277525584427744
