,Window Size,MSE,PSNR,Compression Ratio
0,2,490.005464356709,21.228794377236134,1.9773182221820864
1,4,46.98635293461962,31.41108624332704,2.581776734040149
2,8,101.4667270297904,28.06756709124743,3.042038600025471
3,16,174.3824005765846,25.715777089305366,3.83901697787908
