,Quality(%),MSE,PSNR,Compression Ratio
0,10,82296.9638633728,3.748178022672346,2.273038232280226
1,30,82789.58350753784,3.722259178096548,1.8901247665727356
2,50,79257.39156723022,3.9116184038020845,1.7839690627060165
3,70,76083.28909301758,4.089123366309831,1.7089198210046137
4,87,69129.73585891724,4.505367181183297,1.6209551255660766
