,Quality(%),MSE,PSNR,Compression Ratio
0,10,79453.959400177,3.90086071466414,2.067086791302474
1,30,79822.86447906494,3.880743070089003,1.7554276022138904
2,50,78393.7018699646,3.9592044260966635,1.6659225591650182
3,70,76427.25015258789,4.06953381608268,1.5971296937405963
4,87,68584.55373001099,4.539752984983501,1.5405188909279284
