,Threshold,MSE,PSNR,Compression Ratio
0,5,19798.903148651123,5.164392296812793,1.6670560302687878
1,10,21222.49928665161,4.862838332118311,1.7033678420383487
2,15,21603.76230239868,4.78550970601863,1.7121303993480033
3,20,21800.38124847412,4.746162721871246,1.7156539918986018
4,25,21938.60385131836,4.718713747742198,1.716629732044217
