,Quality(%),MSE,PSNR,Compression Ratio
0,10,83174.22256851196,3.702128653888617,1.789888793568368
1,30,82592.62763595581,3.73260332430833,1.6200476186553086
2,50,81105.54164123535,3.8115108662935464,1.5533604019211324
3,70,79615.993019104,3.892012993287282,1.493135810718462
4,87,74192.637966156,4.198408026171733,1.4279915181618812
