,Window Size,MSE,PSNR,Compression Ratio
0,2,628.2174402872721,2.492091626671556,1.6311118015638755
1,4,122.01528294881184,3.2037873842190265,1.886163360822816
2,8,1999.2161178588867,1.9893418711341664,2.2654656451654667
3,16,2708.7106908162436,1.8574389937554867,2.9269471227112898
