,Window Size,MSE,PSNR,Compression Ratio
0,2,729.0602251688639,2.427438210207632,1.0312899593675038
1,4,2425.6259587605796,1.9053777838428398,1.2747591615433025
2,8,134.1712900797526,3.162542019977051,1.5227507322390468
3,16,1712.518632253011,2.0565663102606875,1.9016555633790102
