,Threshold,MSE,PSNR,Compression Ratio
0,5,21259.498878479004,4.85527337598615,3.037665230092847
1,10,22888.264476776123,4.534674977143233,3.138877763896444
2,15,23589.738285064697,4.403572382096458,3.188915744598156
3,20,23993.20904159546,4.329920230354366,3.204855749571246
4,25,24211.98863220215,4.2904989953343575,3.2104204496126876
